,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Unnamed: 15
0,CN Ackermann (NED),2021-2022,4,3,0,96,81,32.0,117,82.05,0,1,0,10,2,
1,Mosaddek Hossain (BAN),2019-2021,7,6,0,96,51,16.0,151,63.57,0,1,0,5,1,
2,D Myers (ZIM),2021-2021,4,4,0,93,34,23.25,143,65.03,0,0,0,9,0,
3,AC Agar (AUS),2020-2021,6,5,2,92,28,30.66,107,85.98,0,0,0,8,0,
4,MS Wade (AUS),2021-2021,3,3,1,90,51*,45.0,124,72.58,0,1,0,7,2,
5,C de Grandhomme (NZ),2020-2020,4,4,1,89,58*,29.66,64,139.06,0,1,0,10,3,
6,PBB Rajapaksa (SL),2021-2021,5,5,0,89,65,17.8,85,104.7,0,1,3,14,2,
7,LV van Beek (NED),2021-2021,5,5,2,89,29,29.66,129,68.99,0,0,0,9,1,
8,Ishan Kishan (INDIA),2021-2022,3,3,0,88,59,29.33,82,107.31,0,1,0,10,3,
9,CH Gayle (WI),2019-2019,3,3,0,87,72,29.0,96,90.62,0,1,0,9,5,
10,MA Jones (SCOT),2019-2019,3,3,0,87,52,29.0,130,66.92,0,1,0,10,1,
11,T Kaitano (ZIM),2022-2022,3,3,0,87,42,29.0,101,86.13,0,0,0,11,1,
12,MA Agarwal (INDIA),2020-2020,5,5,0,86,32,17.2,83,103.61,0,0,0,12,1,
13,Ikram Alikhil (AFG),2019-2019,3,3,0,86,58,28.66,127,67.71,0,1,0,8,1,
14,Kushal Malla (NEPAL),2020-2021,8,7,0,85,50,12.14,102,83.33,0,1,1,7,5,
15,OF Smith (WI),2022-2022,3,3,1,84,46,42.0,37,227.02,0,0,0,4,9,
16,Hazratullah Zazai (AFG),2019-2019,3,3,0,82,50,27.33,110,74.54,0,1,0,9,4,
17,MA Leask (SCOT),2019-2021,7,5,1,82,51*,20.5,69,118.84,0,1,2,6,3,
18,SM Sharif (SCOT),2019-2021,10,7,5,82,26*,41.0,103,79.61,0,0,0,4,1,
19,Kaleemullah (OMA),2019-2022,19,9,6,81,20,27.0,74,109.45,0,0,0,5,5,
20,SN Netravalkar (USA),2019-2021,18,14,8,81,19*,13.5,114,71.05,0,0,1,6,2,
21,H Hiri (PNG),2019-2021,7,7,2,80,31*,16.0,129,62.01,0,0,1,4,0,
22,P Khadka (NEPAL),2020-2020,4,4,1,80,38,26.66,112,71.42,0,0,0,11,2,
23,PM Seelaar (NED),2021-2022,9,8,0,80,32,10.0,186,43.01,0,0,3,6,0,
24,R Shepherd (WI),2019-2022,10,6,0,80,50,13.33,88,90.9,0,1,0,8,1,
25,MA Starc (AUS),2020-2021,14,10,3,80,19*,11.42,101,79.2,0,0,2,6,2,
26,JN Mohammed (WI),2021-2021,8,7,1,79,17,13.16,146,54.1,0,0,0,6,0,
27,Shoaib Khan (OMA),2021-2022,4,4,0,79,68,19.75,80,98.75,0,1,1,6,3,
28,Javed Ahmadi (AFG),2019-2021,5,5,0,78,38,15.6,106,73.58,0,0,1,8,3,
29,Sabbir Rahman (BAN),2019-2019,3,3,0,78,60,26.0,92,84.78,0,1,0,9,0,
30,KA Maharaj (SA),2020-2022,14,7,2,77,19,15.4,71,108.45,0,0,0,10,0,
31,A Zampa (AUS),2020-2021,16,9,3,76,36,12.66,124,61.29,0,0,0,8,0,
32,AU Rashid (ENG),2020-2021,13,7,2,75,35*,15.0,80,93.75,0,0,1,5,2,
33,Gulbadin Naib (AFG),2019-2022,6,5,0,73,36,14.6,93,78.49,0,0,0,7,1,
34,Hasan Ali (PAK),2021-2021,4,4,1,73,32*,24.33,39,187.17,0,0,0,5,7,
35,Najmul Hossain Shanto (BAN),2020-2021,5,5,0,73,29,14.6,113,64.6,0,0,0,7,2,
36,JDS Neesham (NZ),2020-2021,7,6,0,73,30,12.16,92,79.34,0,0,0,4,2,
37,DT Tiripano (ZIM),2020-2021,5,5,2,73,55*,24.33,61,119.67,0,1,1,2,7,
38,Waheed Ahmed (UAE),2019-2021,7,6,1,73,23,14.6,129,56.58,0,0,1,8,2,
39,LS Livingstone (ENG),2021-2021,3,3,1,72,36,36.0,64,112.5,0,0,0,5,4,
40,Saqib Zulfiqar (NED),2021-2022,6,6,0,70,23,11.66,167,41.91,0,0,0,5,0,
41,SJ Modani (USA),2021-2021,5,5,0,69,24,13.8,126,54.76,0,0,0,7,0,
42,M van Lingen (NAM),2021-2021,2,2,0,68,51,34.0,67,101.49,0,1,0,3,3,
43,Ahmed Raza (UAE),2019-2022,10,5,0,67,19,13.4,100,67.0,0,0,0,3,2,
44,AJ Turner (AUS),2020-2021,6,4,0,67,49,16.75,74,90.54,0,0,0,2,2,
45,I Udana (SL),2019-2021,8,7,2,67,21,13.4,72,93.05,0,0,1,4,2,
46,S Lamichhane (NEPAL),2020-2021,10,6,1,65,28,13.0,59,110.16,0,0,2,5,3,
47,CT Mutombodzi (ZIM),2020-2020,3,3,0,65,34,21.66,74,87.83,0,0,0,9,0,
48,JR Philippe (AUS),2021-2021,3,3,0,65,39,21.66,89,73.03,0,0,0,8,2,
49,Saud Shakeel (PAK),2021-2021,3,3,1,64,56,32.0,93,68.81,0,1,0,5,0,
0,Wahab Riaz (PAK),2019-2020,4,4,1,63,52,21.00,65,96.92,0,1,0,4,3,
1,CAH Stevenson (USA),2019-2020,7,7,1,62,34*,10.33,91,68.13,0,0,1,6,1,
2,S Vesawkar (NEPAL),2020-2021,3,3,1,62,55,31.00,136,45.58,0,1,0,5,0,
3,HDRL Thirimanne (SL),2019-2019,4,3,0,61,36,20.33,86,70.93,0,0,1,5,0,
4,TS Kamunhukamwe (ZIM),2020-2021,4,4,0,57,51,14.25,89,64.04,0,1,0,6,2,
